id,performance_id,element_index,element_name,base_value,goe,panel_score,judges_scores,is_bonus
1060,110,3,FSSp3,2.6,0.07,2.67,"1,0,2,0,2,0,0,-1,-1",False
1061,110,4,3A,8.8,2.06,10.86,"2,3,2,3,3,3,3,2,2",True
1062,110,5,CCSp3,2.8,0.2,3.0,"2,0,2,0,1,2,0,0,0",False
1063,110,6,CCoSp2V,1.88,0.22,2.1,"1,1,1,2,3,1,1,1,1",False
1064,110,7,StSq3,3.3,0.85,4.15,"3,3,3,2,3,3,2,2,2",False
1065,111,1,4T+2T,10.8,0.54,11.34,"1,0,2,0,1,0,0,1,1",False
1066,111,2,4S,9.7,2.08,11.78,"2,2,3,2,3,2,1,2,2",False
1067,111,3,CCoSp3,3.0,0.34,3.34,"1,1,1,1,2,1,0,2,1",False
1068,111,4,3A,8.8,2.06,10.86,"2,3,3,2,3,3,2,3,2",True
1069,111,5,FCSp4,3.2,0.64,3.84,"2,2,2,1,2,2,1,3,3",False
1070,111,6,StSq3,3.3,0.75,4.05,"2,2,2,2,3,2,3,3,2",False
1071,111,7,CSSp4,3.0,0.34,3.34,"2,2,1,1,1,1,0,2,0",False
1072,112,1,4S+3T,13.9,0.42,14.32,"0,1,1,0,0,-1,1,0,1",False
1073,112,2,4T,9.5,-1.49,8.01,"-2,-1,-1,-2,-2,-2,-1,-2,-1",False
1074,112,3,FCSp2,2.3,0.07,2.37,"2,0,1,1,0,0,0,0,0",False
1075,112,4,3A,8.8,1.49,10.29,"2,2,2,2,2,1,2,0,2",True
1076,112,5,CSSp4,3.0,0.9,3.9,"4,1,2,3,3,3,2,4,4",False
1077,112,6,StSq3,3.3,0.9,4.2,"3,2,3,2,3,3,3,2,3",False
1078,112,7,CCoSp2,2.5,0.32,2.82,"2,2,2,0,2,2,0,0,1",False
1079,113,1,4T,9.5,2.31,11.81,"2,3,3,3,2,2,3,2,2",False
1080,113,2,3A,8.0,1.6,9.6,"2,2,3,2,1,2,2,2,2",False
1081,113,3,FCSp4,3.2,0.32,3.52,"1,1,2,1,0,1,-1,1,2",False
1082,113,4,3Lz+3T,11.11,0.76,11.87,"1,2,2,2,1,0,1,1,1",True
1083,113,5,StSq3,3.3,1.04,4.34,"3,3,3,3,4,3,3,4,2",False
