id,performance_id,component_index,component_name,factor,panel_score,judges_scores
159,53,3,Skating Skills,3.33,7.71,"7.75,8.25,7.50,7.25,7.75,7.75,7.75,7.50,8.00"
160,54,1,Composition,3.33,7.89,"8.00,8.25,7.50,8.25,8.00,7.75,7.75,8.00,7.50"
161,54,2,Presentation,3.33,7.75,"7.50,8.00,7.50,8.00,8.50,7.75,7.75,7.75,7.00"
162,54,3,Skating Skills,3.33,8.04,"8.00,8.25,7.50,8.25,8.50,7.50,8.25,8.25,7.75"
163,55,1,Composition,3.33,7.64,"6.25,8.25,7.50,6.75,8.00,7.75,7.50,8.50,7.75"
164,55,2,Presentation,3.33,7.75,"7.00,8.00,7.75,6.75,8.25,7.75,7.75,8.25,7.75"
165,55,3,Skating Skills,3.33,7.79,"7.25,8.25,7.75,7.00,7.75,7.50,7.75,8.50,8.25"
166,56,1,Composition,3.33,6.86,"6.75,7.25,6.75,6.75,6.75,6.00,6.75,7.00,7.25"
167,56,2,Presentation,3.33,6.75,"6.50,6.75,6.50,6.50,7.00,6.00,7.00,7.25,7.00"
168,56,3,Skating Skills,3.33,6.93,"6.75,7.50,6.75,6.75,6.75,6.50,6.75,7.25,7.50"
169,57,1,Composition,3.33,7.5,"7.50,7.75,7.00,7.50,7.50,7.75,7.25,7.50,7.50"
170,57,2,Presentation,3.33,7.5,"7.50,7.50,7.00,7.75,7.75,7.50,7.50,7.25,7.50"
171,57,3,Skating Skills,3.33,7.93,"8.00,8.25,8.00,7.75,7.50,7.50,8.00,8.00,8.25"
172,58,1,Composition,3.33,5.93,"5.50,6.50,6.00,5.75,5.75,5.75,6.25,5.75,6.25"
173,58,2,Presentation,3.33,5.89,"5.75,6.00,6.00,5.50,6.25,5.75,6.50,5.75,5.75"
174,58,3,Skating Skills,3.33,6.36,"6.50,6.25,6.25,5.75,6.50,6.25,6.25,6.50,6.50"
175,59,1,Composition,1.67,8.25,"8.00,8.50,7.50,8.00,8.50,8.25,8.50,8.25,8.25"
176,59,2,Presentation,1.67,8.0,"7.75,8.25,7.75,8.00,8.25,8.00,8.00,8.00,8.00"
177,59,3,Skating Skills,1.67,8.21,"8.25,8.25,7.75,8.25,8.00,8.50,8.25,8.25,8.25"
178,60,1,Composition,1.67,8.11,"8.25,8.50,8.50,7.75,8.25,7.50,8.00,8.00,8.00"
179,60,2,Presentation,1.67,8.32,"8.50,8.50,8.50,8.25,8.50,7.75,8.25,7.75,8.50"
180,60,3,Skating Skills,1.67,7.93,"8.25,8.25,8.25,7.75,7.75,7.75,7.75,7.75,8.00"
